Country,Country Code,Indicator Name,Indicator Code,1960,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,7.76307316,8.81605343,8.78670722,8.06810435,7.43397155,6.72831635,8.32809334,9.41897064,9.19772273,7.87199189,8.51891268,8.13486556,8.18227382,,,
Angola,AGO,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,6.45887795,2.81473208,3.4825593,3.33560211,3.37784418,2.78728366,5.38455772,3.63392075,4.40528442,4.70732007,4.10396002,4.54243749,3.38311163,3.84493395,4.37177378,3.39114609,3.3795827,3.30479422,4.26303169,3.30698293,,,
Albania,ALB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,6.59707903,7.43197435,7.56809993,6.94329921,6.86818989,6.2559844,6.00014389,6.30011348,6.26700723,6.37953469,6.11631076,5.86129625,6.10393525,5.86941616,5.79133946,5.33503501,5.71466526,5.58917285,5.65513948,5.88310543,,,
Andorra,AND,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,5.80799984,6.09433321,6.14492202,7.75592576,5.72830824,5.78129974,5.78874692,5.97260274,5.74503291,5.70388241,5.22335314,5.31389324,6.33545578,6.5674086,6.75968963,7.99926652,6.70379149,7.54733741,11.4780464,8.12713561,,,
Arab World,ARB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,3.699065093,3.690651633,3.861093866,4.173795155,4.277465255,4.119981984,4.390891483,4.414998152,4.201716459,3.938217267,3.57556927,3.525856125,3.619370957,3.531418824,4.57113645,4.161817744,4.096060617,4.399206649,4.665016506,4.875496496,,,
United Arab Emirates,ARE,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,2.63613172,2.45902483,2.48706386,2.89439211,2.71378769,2.37999034,2.48427471,2.71758304,2.64640737,2.46216142,2.32021865,2.32534364,2.56564188,2.92853487,4.04992386,3.92945183,3.7038587,3.44599956,3.48564353,3.64398564,,,
Argentina,ARG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,8.31099274,8.02499359,8.36136161,8.53592553,9.35514932,9.21275669,9.37589012,8.31392968,8.21606274,6.84056093,6.84561938,6.68187054,6.49458405,6.66371839,7.63475841,6.55015616,5.89274265,5.01904817,4.98687258,4.78591616,,,
Armenia,ARM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,6.41873606,5.7907572,5.76758904,5.75617179,5.68179057,6.25348348,5.94041648,5.40041921,5.56388068,5.50118169,5.25211644,4.57775072,4.30883082,3.79932298,4.54532341,4.56226302,3.71354097,4.48215825,4.55022679,4.48014942,,,
American Samoa,ASM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,4.1436129,3.92096985,3.93930715,3.92020732,3.96104693,4.12504853,4.48439049,4.41378705,4.53434099,4.20698542,4.41010035,4.34002161,4.26972324,4.69201433,4.86206202,5.6285144,5.64852918,5.38593825,5.33222783,5.54168311,,,
Australia,AUS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,7.25973523,7.44304741,7.49922799,7.66270214,7.78975897,8.07814515,8.17867869,8.39043833,8.31845119,8.57432053,8.45389263,8.49118995,8.5306305,8.78349607,9.04605596,9.01527191,9.19934655,9.35738514,9.36373848,9.42230024,,,
Austria,AUT,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,9.54702427,9.52730055,9.8252159,9.99743397,10.18758732,10.06456722,10.11903601,10.27003327,10.48033992,10.55988254,10.53141508,10.35154773,10.40127692,10.60392998,11.19443731,11.16524816,10.93557307,11.16821981,11.1377909,11.20547328,,,
Azerbaijan,AZE,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,5.79187601,6.12391391,5.45197597,5.43466004,5.35714447,4.67081301,4.48244097,4.46710558,6.56328804,7.92454395,7.8639081,6.16806759,5.09525293,4.37406647,5.85024048,5.3336001,5.00932503,5.36689762,5.53755045,6.0368632,,,
Burundi,BDI,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,4.3744822,4.49703909,4.11362695,4.50070122,4.39141864,4.97839061,4.96067407,5.15367588,5.24840706,7.10205754,9.83776739,11.49013252,10.02676743,7.85946357,6.96418727,8.82066864,8.57801472,8.20755375,8.03161378,7.53556539,,,
Belgium,BEL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,7.61132513,7.91027712,7.76548243,7.88649843,8.07696011,8.12059728,8.29205205,8.46176755,9.30359795,9.32102699,9.24428757,9.17112797,9.25207442,9.59842645,10.39434014,10.16564067,10.42349563,10.53975001,10.57290301,10.5947509,,,
Benin,BEN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,4.69268216,4.58649677,4.31179803,4.38570981,4.58684538,4.33873071,4.68672761,4.27443185,4.63066141,4.56185468,4.73384847,4.75046608,4.54583981,4.19564004,4.46430984,4.94824039,5.36875255,4.85686602,4.59205377,4.59429651,,,
Burkina Faso,BFA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,4.90774616,5.13518327,5.12841993,5.26031651,5.26786301,5.05909906,4.85203751,5.26139343,5.60978869,6.45328338,6.87238586,6.57889926,6.62938957,6.76855996,7.40543097,7.17005016,5.16945672,5.32688534,5.91240213,4.96026323,,,
Bangladesh,BGD,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,3.22157662,2.96373618,2.25028592,2.25182094,2.29318008,2.32679549,2.46995061,2.59288743,2.51003846,2.61548602,2.67725039,2.79623022,2.79895606,2.84653391,2.90958368,3.06355993,3.155874,3.08120807,2.88285726,2.81899856,,,
